plot,espnurse,target,N_sob,sob,NHP,HP,NFP,FP,NH1,H1,NF1,F1,NH2,H2,NF2,F2,NH3,H3,NF3,F3,NH4,H4,NF4,F4,NH5,H5,NF5,F5,NH6,H6,NF6,F6,NH7,H7,NF7,F7,NH8,H8,NF8,F8,NH9,H9,NF9,F9
20,jupreta,angico,82,82,33,32,16,10,33,32,10,6,36,30,0,6,30,31,4,0,32,-1,4,-1,32,-1,4,-1,32,-1,3,-1,31,-1,0,-1,32,-1,0,-1,31,-1,0,-1
20,jupreta,cating,82,82,32,22,1,3,32,22,1,3,33,22,7,3,35,26,0,0,31,27,0,0,35,27,0,0,35,27,0,0,35,26,0,0,35,-1,0,-1,35,-1,0,-1
20,jupreta,aroeira,82,25,29,30,11,14,29,30,12,13,30,28,10,4,30,28,4,3,28,28,2,3,19,19,0,0,28,28,0,0,29,28,0,0,29,28,0,0,28,27,0,0
126,jupreta,angico,82,60,26,20,3,10,26,20,3,10,25,22,3,10,26,24,2,8,26,25,2,8,25,24,2,0,25,-1,0,-1,26,-1,0,-1,25,-1,0,-1,27,-1,0,-1
126,jupreta,cating,82,82,27,19,7,2,27,19,6,2,28,19,6,2,28,21,6,2,27,19,2,2,27,19,0,0,28,27,0,0,28,20,0,0,27,19,0,0,27,20,0,0
126,jupreta,aroeira,82,39,28,39,9,9,28,39,8,10,27,36,8,0,27,25,4,0,28,37,1,0,26,37,1,0,26,38,0,0,27,37,0,0,28,37,0,0,27,36,0,0
125,jupreta,angico,82,82,47,30,8,8,47,30,9,7,46,29,8,6,46,30,7,4,49,-1,7,-1,47,-1,7,-1,47,-1,3,-1,48,-1,2,-1,46,-1,1,-1,48,-1,0,-1
125,jupreta,cating,82,82,27,23,1,2,27,23,1,2,20,25,1,2,20,23,1,2,19,25,1,2,18,25,0,1,18,26,0,1,19,26,0,0,19,24,0,0,17,-1,0,-1
125,jupreta,aroeira,82,25,28,28,7,8,28,28,7,6,26,23,0,6,27,26,0,5,26,28,3,2,26,28,3,0,26,28,0,0,26,28,0,0,26,27,0,0,25,27,0,0
25,marmeleiro,angico,82,75,36,30,19,8,36,30,17,7,13,30,36,6,36,28,11,5,36,29,7,1,36,29,4,0,37,30,4,0,35,29,0,0,34,30,0,0,-1,31,-1,0
25,marmeleiro,cating,82,82,25,25,4,4,25,25,4,4,26,23,4,4,28,24,4,4,25,26,3,4,26,27,4,1,25,26,2,0,26,26,1,0,26,26,0,1,25,26,0,0
25,marmeleiro,aroeira,75,82,33,36,11,11,33,36,12,9,34,35,9,9,33,35,9,7,33,35,0,7,33,3,0,1,34,35,0,1,33,36,0,1,34,35,0,1,34,35,0,0
48,marmeleiro,angico,82,82,18,42,5,8,18,42,4,8,17,40,4,5,18,42,0,4,16,44,0,3,16,43,0,3,-1,43,-1,0,-1,43,-1,0,-1,45,-1,0,-1,44,-1,0
48,marmeleiro,cating,82,82,24,24,2,5,24,24,2,4,24,23,2,3,22,26,2,3,23,26,0,2,23,27,1,0,20,27,0,0,23,24,0,0,-1,-1,-1,-1,-1,-1,-1,-1
48,marmeleiro,aroeira,39,82,41,32,10,13,41,32,10,12,38,34,11,13,41,33,11,11,38,34,6,7,39,35,3,4,40,33,3,2,40,34,2,0,39,34,0,0,38,35,0,0
51,marmeleiro,angico,60,60,57,47,14,47,57,47,11,22,58,45,10,0,56,45,9,18,56,45,2,17,55,46,0,1,56,47,0,19,54,43,0,11,55,46,0,0,55,45,0,0
51,marmeleiro,cating,82,82,36,28,2,5,36,28,2,3,37,25,2,2,34,32,2,2,35,32,2,2,35,30,2,1,36,30,1,1,35,30,1,1,35,30,0,0,33,30,0,0
51,marmeleiro,aroeira,82,82,37,24,10,9,37,24,10,10,37,-1,10,-1,36,-1,9,-1,35,-1,2,-1,35,-1,2,-1,34,-1,1,-1,36,-1,1,-1,35,-1,0,-1,35,-1,0,-1
61,marmeleiro,angico,82,82,50,44,11,10,50,44,11,10,48,42,9,8,48,42,0,6,47,43,0,3,47,49,0,0,47,-1,0,-1,49,-1,0,-1,47,-1,0,-1,48,-1,0,-1
61,marmeleiro,cating,82,8,37,25,5,3,37,25,5,4,35,22,5,4,31,24,0,0,31,24,3,0,35,23,3,0,36,23,1,0,34,23,0,0,35,23,0,0,34,23,0,0
61,marmeleiro,aroeira,82,82,36,30,12,7,36,30,11,7,37,27,10,7,38,27,1,0,38,28,2,1,38,27,2,0,38,27,2,0,38,27,2,0,37,27,0,0,37,27,0,0
72,marmeleiro,angico,82,82,46,13,15,6,46,13,8,5,44,12,13,5,45,12,7,1,45,12.5,5,0,44,12,3,0,45,12,2,0,45,12,2,0,45,11,0,0,45,12,0,0
72,marmeleiro,cating,82,82,26,50,3,6,26,50,3,6,33,48,3,3,34,48,0,0,34,49,0,2,34,27,2,0,35,49,0,1,35,49,0,0,39,49,0,0,34,49,0,0
72,marmeleiro,aroeira,82,82,32,29,17,9,32,29,16,8,33,26,16,7,32,28,7,0,33,28,0,0,33,28,1,3,33,28,1,0,33,29,0,0,-1,28,-1,0,-1,28,-1,0
62,mofumbo,angico,82,82,34,53,8,6,34,53,8,0,32,54,9,0,34,56,7,0,34,-1,6,-1,35,-1,7,-1,35,-1,7,-1,34,-1,8,-1,35,-1,0,-1,35,-1,0,-1
62,mofumbo,cating,60,82,29,21,2,3,29,21,2,1,32,18,2,4,36,18,1,2,33,19,1,3,33,18,1,2,34,18,0,2,38,18,0,0,36,14,0,0,34,15,0,0
62,mofumbo,aroeira,82,25,32,34,13,10,32,34,11,9,39,32,11,9,41,30,11,0,40,32,2,1,40,31,2,0,41,30,0,0,41,32,0,1,31,32,0,0,41,32,0,0
71,mofumbo,angico,82,82,29,25,6,6,29,25,5,6,28,24,5,5,30,24,3,2,30,25,3,1,-1,24,-1,1,-1,24,-1,1,-1,24,-1,0,-1,24,-1,0,-1,23,-1,0
71,mofumbo,cating,82,82,29,21,3,3,29,21,3,3,29,20,3,3,28,20,0,3,28,20,1,3,28,18,2,3,28,20,0,2,28,20,0,3,27,18,2,0,28,20,0,0
71,mofumbo,aroeira,33,82,43,40,12,10,43,40,11,10,44,40,12,10,43,39,1,1,42,40,0,1,42,40,0,1,43,39,1,1,43,40,0,0,43,39,0,0,-1,-1,-1,-1
60,mofumbo,angico,82,82,52,27,16,24,52,27,12,24,52,25,9,15,49,24,3,0,55,27,2,1,51,27,1,0,-1,24,-1,0,-1,25,-1,0,-1,27,-1,0,-1,22,-1,0
60,mofumbo,cating,82,82,23,20,5,6,23,20,5,4,21,20,5,5,20,20,5,0,22,20,4,0,20,20,2,0,20,20,1,0,22,20,0,0,-1,21,-1,0,-1,20,-1,0
60,mofumbo,aroeira,39,82,38,32,9,13,38,32,8,13,36,29,8,14,35,30,0,0,25,-1,0,-1,35,-1,0,-1,35,-1,0,-1,35,-1,0,-1,36,-1,1,-1,35,-1,0,-1
137,mofumbo,angico,60,82,33,29,9,8,33,29,9,8,34,26,8,6,31,28,4,4,32,28,4,4,33,30,1,0,33,-1,1,-1,33,-1,0,-1,33,-1,0,-1,34,-1,0,-1
137,mofumbo,cating,82,25,24,27,3,2,24,27,3,3,23,26,3,3,22,25,3,3,23,25,3,3,23,26,2,3,23,25,2,2,23,25,0,0,23,25,0,0,-1,-1,-1,-1
137,mofumbo,aroeira,82,39,38,29,8,10,38,29,9,8,38,28,8,8,39,28,7,8,-1,28,-1,6,-1,20,-1,0,-1,29,-1,0,-1,29,-1,0,-1,29,-1,0,-1,28,-1,0
119,mofumbo,angico,75,75,24,19,11,3,24,19,12,3,23,18,8,3,24,29,6,3,23,20,6,3,24,20,1,0,26,20,0,0,18,20,0,0,-1,20,-1,0,-1,20,-1,0
119,mofumbo,cating,25,82,24,21,4,2,24,21,3,2,23,22,2,2,23,20,2,2,25,20,2,2,25,26,0,0,23,20,0,1,24,-1,0,-1,24,-1,0,-1,22,-1,0,-1
119,mofumbo,aroeira,60,82,33,27,16,9,33,27,16,9,34,27,14,8,31,23,11,8,34,26,6,5,34,29,0,0,34,26,0,0,34,26,0,0,34,26,0,0,34,25,0,0
69,mororo,angico,82,46,30,24,15,3,30,24,13,2,31,23,10,2,31,23,0,1,31,25,7,3,31,22,3,4,32,24,2,3,31,23.5,1,3,32,24,0,2,32,24,0,2
69,mororo,cating,82,82,20,15,4,1,20,15,4,1,21,14,4,3,20,14,4,2,20,14,3,2,20,14,3,1,22,14,3,2,21,24,2,2,21,14,0,1,22,14,0,1
69,mororo,aroeira,82,82,43,38,9,13,43,38,8,12,44,37,9,14,44,37,6,0,42,39,2,2,42,37,2,2,42,37,1,2,42,38,1,1,42,38,0,0,42,38,0,0
79,mororo,angico,82,82,12,33,6,9,12,33,4,6,12,32,4,4,13,30,2,2,12,31,2,1,12,29,2,1,10,31,2,1,11,-1,0,-1,10,-1,0,-1,10,-1,0,-1
79,mororo,cating,82,82,31,30,6,5,31,30,6,4,29,27,4,2,29,28,0,1,30,30,0,0,29,30,2,0,30,29,0,0,28,-1,0,-1,28,-1,0,-1,31,-1,0,-1
